Date,Price,Open,High,Low,Vol.,Change %
7/3/2017,1.2936,1.3015,1.3025,1.2931,,-0.68%
6/30/2017,1.3025,1.3007,1.3032,1.2948,,0.16%
6/29/2017,1.3004,1.2923,1.3013,1.2919,,0.62%
6/28/2017,1.2924,1.2817,1.2974,1.2792,,0.86%
6/27/2017,1.2814,1.2726,1.2861,1.2715,,0.74%
6/26/2017,1.272,1.2731,1.2761,1.2704,,0.03%
6/23/2017,1.2716,1.2681,1.2744,1.2673,,0.28%
6/22/2017,1.2681,1.2671,1.2693,1.2652,,0.10%
6/21/2017,1.2668,1.2629,1.2711,1.2588,,0.31%
6/20/2017,1.2629,1.2736,1.276,1.2602,,-0.81%
6/19/2017,1.2732,1.2788,1.2815,1.2722,,-0.33%
6/16/2017,1.2774,1.2757,1.2806,1.2748,,0.16%
6/15/2017,1.2754,1.2751,1.2797,1.2689,,0.02%
6/14/2017,1.2751,1.2755,1.282,1.2723,,0.01%
6/13/2017,1.275,1.266,1.2758,1.2641,,0.75%
6/12/2017,1.2655,1.2731,1.2771,1.2637,,-0.67%
6/9/2017,1.274,1.2955,1.2962,1.2634,,-1.63%
6/8/2017,1.2951,1.2961,1.2979,1.2906,,-0.06%
6/7/2017,1.2959,1.291,1.2969,1.2887,,0.40%
6/6/2017,1.2907,1.2902,1.295,1.2872,,0.05%
6/5/2017,1.2901,1.2853,1.2942,1.2847,,0.15%
6/2/2017,1.2882,1.2881,1.2905,1.2845,,0.02%
6/1/2017,1.2879,1.2891,1.2916,1.2829,,-0.07%
5/31/2017,1.2888,1.2859,1.2921,1.2769,,0.24%
5/30/2017,1.2857,1.2841,1.2889,1.2793,,0.15%
5/29/2017,1.2838,1.2806,1.2852,1.2792,,0.28%
5/26/2017,1.2802,1.2943,1.295,1.2774,,-1.06%
5/25/2017,1.2939,1.2973,1.3014,1.2929,,-0.26%
5/24/2017,1.2973,1.2961,1.3001,1.2925,,0.11%
5/23/2017,1.2959,1.3001,1.3035,1.2952,,-0.30%
5/22/2017,1.2998,1.301,1.3043,1.2965,,-0.28%
5/19/2017,1.3034,1.2939,1.3042,1.2927,,0.76%
5/18/2017,1.2936,1.297,1.3049,1.2892,,-0.25%
5/17/2017,1.2969,1.2919,1.2992,1.2905,,0.41%
5/16/2017,1.2916,1.2897,1.2959,1.2866,,0.18%
5/15/2017,1.2893,1.2889,1.2942,1.2875,,0.02%
5/12/2017,1.289,1.2887,1.2901,1.2843,,0.07%
5/11/2017,1.2881,1.2939,1.295,1.2849,,-0.43%
5/10/2017,1.2936,1.2936,1.299,1.2926,,0.02%
5/9/2017,1.2933,1.2944,1.2961,1.2902,,-0.04%
5/8/2017,1.2938,1.2984,1.2992,1.2929,,-0.32%
5/5/2017,1.2979,1.2923,1.2986,1.29,,0.46%
5/4/2017,1.292,1.2867,1.2932,1.283,,0.44%
5/3/2017,1.2863,1.2938,1.295,1.2863,,-0.56%
5/2/2017,1.2935,1.2887,1.2942,1.2863,,0.39%
5/1/2017,1.2885,1.2953,1.2958,1.2881,,-0.47%
4/28/2017,1.2946,1.2905,1.2967,1.2886,,0.34%
4/27/2017,1.2902,1.2845,1.2917,1.2836,,0.44%
4/26/2017,1.2846,1.2843,1.2864,1.2804,,0.05%
4/25/2017,1.284,1.2796,1.2847,1.2773,,0.37%
4/24/2017,1.2793,1.2843,1.2872,1.2771,,-0.15%
4/21/2017,1.2812,1.2814,1.2836,1.276,,0.03%
4/20/2017,1.2808,1.2779,1.2847,1.2771,,0.24%
4/19/2017,1.2777,1.2841,1.2863,1.2767,,-0.46%
4/18/2017,1.2836,1.2565,1.2904,1.2515,,2.19%
4/17/2017,1.2561,1.253,1.2598,1.2524,,0.31%
4/14/2017,1.2522,1.2503,1.2537,1.25,,0.14%
4/13/2017,1.2505,1.2541,1.2576,1.2498,,-0.26%
4/12/2017,1.2538,1.2491,1.2551,1.2479,,0.40%
4/11/2017,1.2488,1.2411,1.2497,1.2403,,0.63%
4/10/2017,1.241,1.2382,1.243,1.2365,,0.31%
4/7/2017,1.2372,1.247,1.2479,1.2364,,-0.75%
4/6/2017,1.2466,1.2484,1.2506,1.245,,-0.11%
4/5/2017,1.248,1.2439,1.25,1.2422,,0.33%
4/4/2017,1.2439,1.2487,1.2497,1.2418,,-0.38%
4/3/2017,1.2486,1.2541,1.2558,1.2464,,-0.47%
3/31/2017,1.2545,1.2469,1.2561,1.2433,,0.64%
3/30/2017,1.2465,1.2434,1.2527,1.2403,,0.27%
3/29/2017,1.2432,1.245,1.2476,1.2377,,-0.13%
3/28/2017,1.2448,1.2559,1.2598,1.2439,,-0.84%
3/27/2017,1.2553,1.2488,1.2617,1.2475,,0.68%
3/24/2017,1.2468,1.2521,1.2525,1.2467,,-0.41%
3/23/2017,1.2519,1.2485,1.2532,1.2461,,0.30%
3/22/2017,1.2482,1.2479,1.2508,1.2424,,0.04%
3/21/2017,1.2477,1.2357,1.2496,1.234,,0.98%
3/20/2017,1.2356,1.2401,1.2437,1.2335,,-0.29%
3/17/2017,1.2392,1.2361,1.2407,1.2323,,0.28%
3/16/2017,1.2358,1.2288,1.2378,1.2241,,0.55%
3/15/2017,1.2291,1.2154,1.2311,1.2142,,1.14%
3/14/2017,1.2152,1.2218,1.223,1.2108,,-0.54%
3/13/2017,1.2218,1.2169,1.2253,1.2153,,0.40%
3/10/2017,1.2169,1.2167,1.2191,1.2138,,0.02%
3/9/2017,1.2166,1.2167,1.2197,1.2136,,-0.02%
3/8/2017,1.2168,1.2199,1.2216,1.2139,,-0.25%
3/7/2017,1.2199,1.2236,1.2254,1.2169,,-0.29%
3/6/2017,1.2235,1.2295,1.2302,1.2222,,-0.45%
3/3/2017,1.229,1.2267,1.2302,1.2214,,0.20%
3/2/2017,1.2265,1.2293,1.2308,1.2243,,-0.23%
3/1/2017,1.2293,1.2381,1.2406,1.2279,,-0.70%
2/28/2017,1.238,1.2444,1.2472,1.2372,,-0.50%
2/27/2017,1.2442,1.2468,1.2487,1.2384,,-0.18%
2/24/2017,1.2465,1.2556,1.2572,1.2445,,-0.69%
2/23/2017,1.2552,1.2442,1.2561,1.2426,,0.83%
2/22/2017,1.2449,1.2471,1.2509,1.2422,,-0.18%
2/21/2017,1.2472,1.2462,1.2483,1.2399,,0.10%
2/20/2017,1.246,1.2412,1.2485,1.2405,,0.39%
2/17/2017,1.2412,1.249,1.2514,1.2386,,-0.60%
2/16/2017,1.2487,1.246,1.2525,1.2453,,0.23%
2/15/2017,1.2458,1.2472,1.2483,1.2382,,-0.07%
2/14/2017,1.2467,1.2526,1.2551,1.2443,,-0.47%
2/13/2017,1.2526,1.2478,1.2541,1.2473,,0.30%
